epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8421,2.56564,5.98709,4.41282,2.83177,0.82375,0.04764,0.03725,0.01068,0.00091,0.01654,0.00056,0.00011,2.52584,5.39212,12.0265,2.82554,0.00014007,0.00014007,0.00014007
2,69.8509,2.44899,4.7377,4.49735,2.53978,0.2082,0.19056,0.00416,0.00165,0.20005,0.00182,3e-05,0,2.77393,12.4466,inf,4.33681,0.000275452,0.000275452,0.000275452
3,100.21,2.44189,4.32313,6.3544,2.58763,0.00013,0.01082,6e-05,1e-05,8e-05,0.01518,4e-05,1e-05,nan,nan,nan,nan,0.000399213,0.000399213,0.000399213
4,127.68,2.38801,4.22643,4.81467,2.57992,0.00015,0.02182,0.00011,3e-05,0,0.00036,0,0,nan,nan,nan,nan,0.000511352,0.000511352,0.000511352
5,154.694,2.25596,4.33572,3.71547,2.5172,0.00031,0.0589,0.00026,7e-05,7e-05,0.01455,4e-05,1e-05,4.23774,nan,inf,114.801,0.000561347,0.000561347,0.000561347
6,182.119,2.253,3.89543,3.49444,2.5295,0.20153,0.096,0.00165,0.00069,0.20076,0.04764,0.00053,8e-05,2.86943,56.3554,inf,11.3518,0.000534934,0.000534934,0.000534934
7,209.345,2.0696,3.58178,3.18925,2.32497,0.30293,0.07964,0.00312,0.00114,0.30169,0.04582,0.0013,0.00025,2.47979,15.4114,inf,7.9032,0.000508521,0.000508521,0.000508521
8,236.623,2.04939,3.37884,2.95842,2.27979,0.20526,0.10159,0.01164,0.00461,0.20451,0.09119,0.00979,0.00353,2.58373,4.58814,18.4861,4.71133,0.000482108,0.000482108,0.000482108
9,263.939,1.9436,3.3341,2.91999,2.25063,0.61003,0.10747,0.0232,0.00752,0.60975,0.09984,0.01244,0.00413,2.3903,3.6228,5.80455,3.03313,0.000455694,0.000455694,0.000455694
10,291.842,1.8109,3.11568,2.7669,2.15149,0.65578,0.02982,0.05324,0.01924,0.64283,0.036,0.05009,0.01837,2.06321,3.47349,3.54695,2.57773,0.000429281,0.000429281,0.000429281
11,319.757,1.78045,3.06712,2.6071,2.12962,0.635,0.13817,0.06063,0.02496,0.64097,0.12269,0.05569,0.02036,1.89465,3.50947,3.66167,2.45788,0.000402868,0.000402868,0.000402868
12,347.545,1.72681,2.99883,2.54592,2.05316,0.74419,0.09771,0.06079,0.02254,0.74207,0.09403,0.05214,0.01733,2.00402,3.22228,2.73017,2.56688,0.000376455,0.000376455,0.000376455
13,374.707,1.70975,2.95057,2.41603,2.08336,0.77141,0.10865,0.09984,0.04705,0.76428,0.1061,0.0772,0.03104,1.82209,3.18949,2.41636,2.36069,0.000350042,0.000350042,0.000350042
14,402.208,1.68198,2.76815,2.31224,2.03016,0.88366,0.13367,0.14945,0.07222,0.88251,0.12225,0.11603,0.04923,1.72893,3.08196,2.22457,2.20718,0.000323628,0.000323628,0.000323628
15,429.802,1.55074,2.69336,2.09721,1.91421,0.908,0.12874,0.12908,0.0608,0.8968,0.11694,0.09895,0.0431,1.70721,2.96092,2.12887,2.1829,0.000297215,0.000297215,0.000297215
16,457.232,1.56272,2.89478,2.32032,1.98726,0.90618,0.14132,0.15681,0.07889,0.89744,0.13001,0.1218,0.0565,1.67408,2.9424,2.06325,2.14511,0.000270802,0.000270802,0.000270802
17,484.919,1.52458,2.72243,2.20616,1.95443,0.92824,0.14164,0.17925,0.09281,0.91765,0.12924,0.13826,0.06404,1.66098,2.84534,1.96115,2.16077,0.000244389,0.000244389,0.000244389
18,512.297,1.52421,2.75804,2.02889,1.95317,0.95749,0.16121,0.19014,0.10658,0.94114,0.14507,0.14488,0.06977,1.51652,2.84292,1.86795,2.0497,0.000217976,0.000217976,0.000217976
19,539.765,1.48284,2.76158,2.0002,1.94819,0.94703,0.16251,0.18398,0.09985,0.93551,0.14628,0.14289,0.06737,1.58975,2.88021,1.86883,2.10798,0.000191562,0.000191562,0.000191562
20,566.553,1.45978,2.71909,1.94143,1.95337,0.95489,0.16731,0.18838,0.10512,0.93947,0.14917,0.14636,0.07126,1.57108,2.83697,1.81623,2.07778,0.000165149,0.000165149,0.000165149
21,593.537,1.43016,2.67952,1.92754,1.95551,0.96764,0.16181,0.19295,0.10968,0.95145,0.14626,0.15085,0.07711,1.51033,2.79857,1.84633,2.00712,0.000138736,0.000138736,0.000138736
22,621.048,1.39131,2.65111,1.90561,1.87953,0.96106,0.1601,0.18566,0.10604,0.9447,0.14133,0.14121,0.07311,1.51431,2.82231,1.82447,2.01056,0.000112323,0.000112323,0.000112323
23,647.803,1.35481,2.6535,1.89581,1.85909,0.95842,0.16192,0.18284,0.10597,0.94311,0.14248,0.14053,0.07269,1.48669,2.83099,1.79335,1.97898,8.59096e-05,8.59096e-05,8.59096e-05
24,674.785,1.28585,2.52054,1.83162,1.79233,0.9583,0.16338,0.18572,0.1116,0.94151,0.14497,0.14431,0.07554,1.45202,2.79706,1.72626,1.94422,5.94964e-05,5.94964e-05,5.94964e-05
25,701.576,1.26765,2.59468,1.75382,1.78695,0.9629,0.16628,0.1886,0.11573,0.94349,0.14882,0.14662,0.07815,1.43664,2.76092,1.68534,1.93736,3.30832e-05,3.30832e-05,3.30832e-05
