epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5812,2.54286,5.78524,4.66391,2.81758,0.81563,0.05345,0.01806,0.00679,0.80027,0.00073,8e-05,2e-05,2.33039,5.3878,13.7579,2.72735,0.00014007,0.00014007,0.00014007
2,95.1741,2.31953,4.44704,4.57414,2.48646,0.20137,0.1478,0.00135,0.00061,0.20044,0.03382,0.0003,6e-05,2.62316,18.7221,inf,6.8486,0.000275452,0.000275452,0.000275452
3,151.495,2.39713,4.05471,4.99,2.60964,0.20137,0.1478,0.00135,0.00061,0.20044,0.03382,0.0003,6e-05,nan,nan,nan,nan,0.000399213,0.000399213,0.000399213
4,190.882,2.32701,4.36135,3.80039,2.5055,0.20137,0.1478,0.00135,0.00061,0.20044,0.03382,0.0003,6e-05,nan,nan,nan,nan,0.000511352,0.000511352,0.000511352
5,225.956,2.466,4.46292,4.54728,2.61081,0.20137,0.1478,0.00135,0.00061,0.20044,0.03382,0.0003,6e-05,nan,nan,nan,nan,0.000561347,0.000561347,0.000561347
6,255.312,2.55123,4.29697,3.77842,2.72677,0.0042,0.00888,0.0018,0.00069,0,0,0,0,3.59327,nan,inf,125.819,0.000534934,0.000534934,0.000534934
7,283.74,2.4643,4.12217,3.86166,2.57675,0.00168,0.11663,0.00111,0.00035,0,0,0,0,3.66343,nan,inf,37.1517,0.000508521,0.000508521,0.000508521
8,312.11,2.44072,3.8911,3.46968,2.54265,0.0063,0.06655,0.00885,0.0029,0.00022,0.00761,8e-05,1e-05,2.8833,46.5269,39.5615,4.76671,0.000482108,0.000482108,0.000482108
9,340.488,2.37173,3.80256,3.37742,2.44212,0.21691,0.0592,0.01713,0.00472,0.10342,0.02643,0.00174,0.00036,2.51542,6.5425,6.70339,3.00152,0.000455694,0.000455694,0.000455694
10,368.709,2.10925,3.43963,3.05186,2.25052,0.50743,0.08604,0.01113,0.00347,0.50547,0.06607,0.00761,0.00208,2.40719,4.57041,13.2258,2.79467,0.000429281,0.000429281,0.000429281
11,396.938,2.02288,3.36412,2.90685,2.19566,0.11302,0.04095,0.01299,0.00387,0.11399,0.03623,0.0107,0.00251,2.61536,5.08495,5.7859,3.08904,0.000402868,0.000402868,0.000402868
12,426.215,1.97347,3.34616,2.8188,2.14546,0.02697,0.24114,0.01699,0.00615,0.4029,0.08678,0.00887,0.002,2.22011,3.80926,46.2548,2.53376,0.000376455,0.000376455,0.000376455
13,455.054,1.93081,3.29517,2.73611,2.11891,0.49362,0.14094,0.10954,0.03944,0.47658,0.11158,0.07159,0.02287,2.13664,3.67519,3.31421,2.39084,0.000350042,0.000350042,0.000350042
14,483.718,1.92121,3.00648,2.63962,2.06769,0.55865,0.07844,0.06598,0.02331,0.55738,0.0752,0.05392,0.01711,2.26447,3.31484,2.8503,2.74709,0.000323628,0.000323628,0.000323628
15,511.987,1.72171,3.02395,2.37244,1.94108,0.68881,0.11918,0.11021,0.04836,0.68477,0.10316,0.08208,0.0293,1.97336,3.28379,2.4605,2.32852,0.000297215,0.000297215,0.000297215
16,541.227,1.69762,3.08259,2.58255,2.02011,0.67016,0.12498,0.11529,0.05595,0.66605,0.1104,0.08254,0.03331,1.85719,3.25679,2.44114,2.1492,0.000270802,0.000270802,0.000270802
17,569.854,1.70349,2.9105,2.376,1.9857,0.89619,0.11591,0.12807,0.05897,0.86293,0.07986,0.06089,0.01819,2.01899,3.25844,2.17189,2.29169,0.000244389,0.000244389,0.000244389
18,597.752,1.64497,2.97127,2.30598,1.98402,0.79507,0.12276,0.13288,0.06602,0.77506,0.10603,0.09562,0.04195,1.83439,3.05248,2.32218,2.17621,0.000217976,0.000217976,0.000217976
19,626.167,1.64464,2.90244,2.25674,2.00135,0.8929,0.13629,0.14894,0.07818,0.88517,0.11801,0.11268,0.04928,1.74948,2.9668,2.13328,2.12921,0.000191562,0.000191562,0.000191562
20,654.488,1.6465,2.82628,2.18742,2.00186,0.9167,0.13079,0.1501,0.08119,0.90816,0.11906,0.11718,0.05173,1.71009,2.93733,2.0488,2.09484,0.000165149,0.000165149,0.000165149
21,682.84,1.61452,2.85085,2.13687,1.99796,0.92291,0.14871,0.15788,0.08682,0.91173,0.13341,0.12219,0.05437,1.67716,2.90766,1.99719,2.03362,0.000138736,0.000138736,0.000138736
22,711.286,1.59905,2.79497,2.16521,1.97583,0.91321,0.14128,0.16039,0.09165,0.90178,0.12491,0.12054,0.0576,1.64941,2.89488,1.97489,1.99297,0.000112323,0.000112323,0.000112323
23,739.569,1.54859,2.78113,2.06868,1.92349,0.90799,0.15143,0.16272,0.0936,0.90494,0.12853,0.1216,0.05874,1.63789,2.89134,1.94634,1.97929,8.59096e-05,8.59096e-05,8.59096e-05
24,767.997,1.49534,2.70784,1.98871,1.84966,0.91398,0.14695,0.16288,0.09332,0.9037,0.13143,0.11946,0.058,1.61164,2.87971,1.91193,1.96914,5.94964e-05,5.94964e-05,5.94964e-05
25,795.768,1.45945,2.6893,1.94584,1.85171,0.92088,0.14962,0.16624,0.09748,0.90965,0.13453,0.12257,0.05975,1.58496,2.86456,1.90417,1.94646,3.30832e-05,3.30832e-05,3.30832e-05
