                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8507,                 5.7706,                 5.3481,                 2.9975,                0.00279,                0.11429,                0.00202,                 0.0006,                0.00083,                0.00609,                0.00042,                0.00012,                 3.0811,                 5.5232,                 4.4917,                 3.5084,              1.334e-05,              1.334e-05,              1.334e-05
                      2,                 2.4004,                 5.5156,                 4.6617,                 2.8521,                0.00306,                0.10966,                0.00228,                0.00078,                0.00124,                0.00682,                0.00063,                0.00026,                 3.0578,                 5.4864,                 4.4982,                 3.4943,             3.2029e-05,             3.2029e-05,             3.2029e-05
                      3,                 2.1507,                 4.8645,                 5.4395,                 2.5448,                0.00283,                 0.1151,                 0.0025,                0.00081,                0.00119,                0.00718,                0.00061,                0.00019,                 3.0281,                 5.4216,                 4.5053,                 3.4836,             4.9134e-05,             4.9134e-05,             4.9134e-05
                      4,                 2.5734,                 5.3122,                 4.6997,                 2.7358,                0.00295,                0.10949,                0.00257,                0.00077,                0.00085,                0.00682,                0.00044,                0.00014,                 3.0079,                 5.3985,                 4.5053,                 3.4681,             6.4654e-05,             6.4654e-05,             6.4654e-05
                      5,                 2.4739,                 5.4249,                  4.716,                 2.6991,                0.00356,                0.11119,                0.00293,                0.00083,                0.00149,                0.00864,                0.00077,                0.00022,                 2.9874,                 5.3689,                 4.4939,                 3.4569,             7.8589e-05,             7.8589e-05,             7.8589e-05
                      6,                  2.359,                 5.6553,                 4.5608,                 2.7153,                0.00517,                0.12062,                0.00389,                0.00116,                0.00294,                 0.0206,                0.00153,                0.00024,                 2.9528,                 5.3514,                 4.4993,                 3.4471,             9.0939e-05,             9.0939e-05,             9.0939e-05
                      7,                 2.4078,                 5.2045,                 4.6715,                 2.7136,                0.00545,                0.10858,                0.00441,                 0.0013,                0.00326,                0.01939,                0.00175,                0.00026,                 2.9487,                 5.3659,                 4.5019,                 3.4628,              0.0001017,              0.0001017,              0.0001017
                      8,                 1.7284,                 5.1214,                 5.0438,                 2.1141,                0.62317,                0.05891,                0.03021,                0.01238,                 0.6001,                0.00073,                  3e-05,                  1e-05,                 2.1369,                 4.8953,                 24.279,                 2.5124,             0.00011088,             0.00011088,             0.00011088
                      9,                 2.0302,                 4.2671,                 3.9692,                 2.2294,                0.92644,                0.05164,                0.02292,                0.00841,                0.30314,                0.00145,                0.00021,                  3e-05,                 2.3402,                 4.9555,                 20.848,                 2.5112,             0.00011848,             0.00011848,             0.00011848
                     10,                 1.9377,                 4.0343,                 3.5393,                 2.1706,                0.20718,                0.13182,                0.00776,                0.00319,                0.40041,                0.00543,                0.00013,                  3e-05,                 1.9239,                 4.5851,                 27.347,                 2.3392,             0.00012449,             0.00012449,             0.00012449
                     11,                 1.6658,                 3.9592,                 4.0089,                 1.9498,                0.20718,                0.13182,                0.00776,                0.00319,                0.40041,                0.00543,                0.00013,                  3e-05,                 1.9239,                 4.5851,                 27.347,                 2.3392,             0.00012892,             0.00012892,             0.00012892
                     12,                 1.4139,                 3.4221,                  3.209,                 1.8105,                0.52379,                0.11505,                 0.0296,                   0.01,                0.31077,                0.07832,                0.00901,                0.00181,                 1.9046,                 4.5442,                 25.094,                 2.3763,             0.00013176,             0.00013176,             0.00013176
                     13,                 1.6964,                 3.1991,                  4.105,                 2.0436,                0.52379,                0.11505,                 0.0296,                   0.01,                0.31077,                0.07832,                0.00901,                0.00181,                 1.9046,                 4.5442,                 25.094,                 2.3763,             0.00013302,             0.00013302,             0.00013302
