                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8344,                 6.1138,                 5.1286,                 3.0009,                0.00417,                0.18415,                0.00447,                0.00127,                0.00139,                0.05673,                 0.0012,                0.00038,                 3.0908,                 5.6014,                 4.1489,                 3.5375,              1.334e-05,              1.334e-05,              1.334e-05
                      2,                 2.3695,                 5.4029,                 4.6478,                   2.85,                0.00414,                0.18343,                0.00446,                 0.0013,                0.00164,                0.06623,                0.00143,                0.00042,                  3.068,                 5.5531,                  4.147,                 3.5221,             3.2029e-05,             3.2029e-05,             3.2029e-05
                      3,                 2.1263,                 4.7997,                 5.0114,                 2.5085,                0.00411,                0.17423,                0.00472,                0.00142,                0.00188,                0.06414,                0.00164,                0.00043,                 3.0396,                 5.4616,                 4.1408,                  3.504,             4.9134e-05,             4.9134e-05,             4.9134e-05
                      4,                 2.6234,                 5.2496,                 4.6076,                 2.6979,                 0.0041,                0.17703,                0.00469,                0.00152,                0.00183,                0.06416,                0.00163,                0.00045,                 3.0192,                 5.4256,                 4.1368,                 3.4876,             6.4654e-05,             6.4654e-05,             6.4654e-05
                      5,                 2.5312,                 5.2095,                  4.776,                 2.7224,                0.00426,                 0.1909,                0.00489,                0.00153,                0.00192,                0.06686,                0.00173,                0.00047,                 2.9941,                 5.3898,                 4.1309,                 3.4674,             7.8589e-05,             7.8589e-05,             7.8589e-05
                      6,                 2.3183,                 5.6126,                 4.6271,                 2.6742,                0.00432,                0.19308,                0.00503,                0.00158,                0.00196,                0.07018,                0.00169,                0.00051,                 2.9657,                 5.3327,                 4.1237,                 3.4483,             9.0939e-05,             9.0939e-05,             9.0939e-05
                      7,                 2.3947,                 5.1724,                  4.651,                 2.7269,                0.00395,                0.18046,                0.00465,                0.00148,                0.00167,                0.06647,                0.00148,                0.00044,                 2.9587,                 5.3127,                 4.1252,                 3.4453,              0.0001017,              0.0001017,              0.0001017
                      8,                 1.8237,                 5.0013,                 4.1248,                  2.065,                 0.9383,                0.05709,                 0.0425,                0.01411,                0.90487,                0.00945,                0.00171,                0.00036,                 2.2466,                 4.6194,                 7.0857,                 2.7174,             0.00011088,             0.00011088,             0.00011088
                      9,                 1.9391,                 4.1565,                 3.5864,                 2.2062,                0.51158,                0.08859,                0.00901,                0.00364,                0.80274,                0.00471,                0.00063,                  9e-05,                 2.3253,                 5.1927,                 9.9631,                 2.7544,             0.00011848,             0.00011848,             0.00011848
                     10,                 1.9018,                 4.1449,                 4.0376,                  2.169,                0.86912,                 0.0709,                0.04768,                0.02014,                0.50659,                 0.0432,                0.00377,                0.00076,                 1.9801,                 4.0941,                 21.132,                 2.4464,             0.00012449,             0.00012449,             0.00012449
