epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4524,2.5224,6.04251,4.46252,2.82582,0.67247,0.05495,0.00721,0.00223,0.446,0.05797,0.00034,0.00011,2.74591,6.2586,93.9317,3.00414,0.00018009,0.00018009,0.00018009
2,110.619,2.59837,4.52123,6.16631,2.62137,0.00063,0.01404,0.00028,8e-05,3e-05,0.0012,2e-05,0,nan,nan,nan,nan,0.000352323,0.000352323,0.000352323
3,142.784,2.74877,4.3269,4.4462,2.87817,0.00063,0.00201,0.00034,0.00013,0,0,0,0,nan,nan,nan,nan,0.000509764,0.000509764,0.000509764
4,193.187,2.86559,5.48471,3.95319,2.96604,0.00063,0.00201,0.00034,0.00013,0,0,0,0,nan,nan,nan,nan,0.00058776,0.00058776,0.00058776
5,231.828,2.8473,4.65878,3.95273,3.06153,0.00063,0.00201,0.00034,0.00013,0,0,0,0,nan,nan,nan,nan,0.000561347,0.000561347,0.000561347
6,263.444,2.66485,4.5093,3.68957,2.90365,0.00083,0.23022,0.00084,0.00029,0.00011,0.03055,6e-05,1e-05,3.24506,273.036,inf,23.6848,0.000534934,0.000534934,0.000534934
7,294.9,2.50136,4.2733,3.35653,2.78525,7e-05,0.00843,4e-05,1e-05,4e-05,0.00642,2e-05,0,4.81318,77.073,216.973,12.876,0.000508521,0.000508521,0.000508521
8,326.264,2.40961,3.99088,3.19469,2.6905,0.47822,0.0365,0.02555,0.00657,0.47205,0.02968,0.01618,0.0035,3.1778,11.6859,inf,4.66951,0.000482108,0.000482108,0.000482108
9,357.573,2.3236,3.92028,3.06837,2.64573,0.57455,0.07709,0.01646,0.00417,0.57237,0.05943,0.01169,0.00253,3.22981,4.79502,4.57599,3.71384,0.000455694,0.000455694,0.000455694
10,388.562,2.23707,3.80227,3.01384,2.59434,0.70044,0.09035,0.02173,0.00658,0.68955,0.07026,0.01094,0.00234,2.56331,4.02357,4.47079,3.06843,0.000429281,0.000429281,0.000429281
11,419.354,2.22196,3.64912,2.94745,2.57822,0.93947,0.06699,0.07826,0.03353,0.93547,0.05616,0.06644,0.01751,2.25037,3.56082,2.50845,2.78906,0.000402868,0.000402868,0.000402868
12,450.598,2.13685,3.60234,2.76722,2.52843,0.76134,0.08958,0.09421,0.03547,0.78089,0.08518,0.09917,0.031,2.264,3.2093,2.39854,2.83636,0.000376455,0.000376455,0.000376455
13,481.954,2.04306,3.50818,2.71719,2.45155,0.71408,0.14375,0.07678,0.03306,0.71104,0.11641,0.06359,0.02142,2.01335,3.12825,2.75886,2.60302,0.000350042,0.000350042,0.000350042
14,512.556,2.00016,3.38299,2.68808,2.37264,0.85279,0.0861,0.06044,0.02447,0.86092,0.07685,0.06031,0.02103,1.96622,3.07789,2.40509,2.52335,0.000323628,0.000323628,0.000323628
15,542.943,2.00248,3.46614,2.70653,2.42403,0.91657,0.13138,0.14805,0.06828,0.92544,0.1374,0.15077,0.06171,1.9043,2.95608,2.02816,2.43184,0.000297215,0.000297215,0.000297215
16,574.825,1.9503,3.42424,2.79728,2.50884,0.91052,0.11891,0.13249,0.06425,0.90648,0.10728,0.12367,0.04665,1.86354,3.1021,2.27103,2.44171,0.000270802,0.000270802,0.000270802
17,605.473,1.90488,3.35092,2.60179,2.46957,0.89418,0.11607,0.12423,0.05369,0.89711,0.11568,0.12278,0.05496,2.05596,2.9817,1.99855,2.6399,0.000244389,0.000244389,0.000244389
18,635.518,1.8607,3.30168,2.53218,2.47643,0.89072,0.11011,0.11519,0.05906,0.89345,0.11292,0.11724,0.05537,1.91879,2.802,2.09489,2.44066,0.000217976,0.000217976,0.000217976
19,665.602,1.81116,3.18842,2.46051,2.41472,0.91494,0.09016,0.09726,0.0472,0.91687,0.08486,0.09534,0.03987,1.9106,2.88845,2.49494,2.43619,0.000191562,0.000191562,0.000191562
20,695.54,1.80338,3.2052,2.41243,2.34479,0.91329,0.11726,0.13436,0.07241,0.91624,0.11273,0.12992,0.05687,1.81213,2.77078,2.03772,2.33771,0.000165149,0.000165149,0.000165149
21,725.531,1.78337,3.15122,2.38135,2.38066,0.92082,0.16428,0.15605,0.08644,0.92632,0.15649,0.15859,0.07601,1.6798,2.62298,1.71098,2.22674,0.000138736,0.000138736,0.000138736
22,756.019,1.76231,3.05063,2.3437,2.32293,0.91452,0.15528,0.15334,0.08493,0.92078,0.15434,0.16194,0.07974,1.66398,2.49365,1.75117,2.21047,0.000112323,0.000112323,0.000112323
23,786.512,1.75607,3.02892,2.32644,2.32686,0.91017,0.15256,0.15047,0.08125,0.91908,0.15378,0.15897,0.08167,1.66766,2.4546,1.75884,2.21384,8.59096e-05,8.59096e-05,8.59096e-05
24,816.599,1.73479,3.12845,2.29642,2.30099,0.91405,0.1556,0.15363,0.08131,0.92407,0.15584,0.15932,0.08451,1.75321,2.45574,1.74984,2.26637,5.94964e-05,5.94964e-05,5.94964e-05
25,847.073,1.73574,3.00168,2.28647,2.32143,0.9226,0.16271,0.16286,0.08745,0.92872,0.1634,0.16766,0.09139,1.73057,2.44285,1.68828,2.24632,3.30832e-05,3.30832e-05,3.30832e-05
