epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.1762,2.07814,4.38683,3.74488,2.31589,0.23781,0.12099,0.02186,0.01199,0.23631,0.09707,0.01659,0.00613,1.63452,3.30225,144.587,2.17227,0.000218363,0.000218363,0.000218363
2,133.805,1.75894,3.23703,2.56116,1.99617,0.64474,0.0718,0.09674,0.0421,0.64275,0.0702,0.09488,0.04304,2.05177,3.13852,14.602,2.79951,0.000423245,0.000423245,0.000423245
3,182.709,1.78664,3.10973,2.47409,2.03499,0.84752,0.10129,0.07811,0.03313,0.82559,0.06922,0.04967,0.02006,1.77777,3.28831,4.85874,2.38738,0.000610518,0.000610518,0.000610518
4,231.059,1.75401,3.1946,2.36468,2.04091,0.92316,0.16348,0.16484,0.09086,0.93097,0.16362,0.1628,0.07191,1.57423,2.8265,3.06721,2.11609,0.00058776,0.00058776,0.00058776
5,279.616,1.69609,3.04851,2.16241,1.95679,0.93661,0.18785,0.18671,0.10498,0.93271,0.18671,0.18332,0.09552,1.45284,2.42886,2.74588,1.86342,0.000561347,0.000561347,0.000561347
6,328.295,1.64986,2.98604,2.13215,1.94858,0.94442,0.16485,0.18727,0.10912,0.93736,0.15985,0.16993,0.08667,1.45474,2.48188,1.56804,1.90129,0.000534934,0.000534934,0.000534934
7,376.068,1.56149,2.86995,1.94886,1.84463,0.8367,0.19767,0.20363,0.13163,0.8382,0.19167,0.19975,0.1154,1.26213,2.40545,1.52069,1.72388,0.000508521,0.000508521,0.000508521
8,424.883,1.55188,2.91565,1.98625,1.84921,0.95671,0.19048,0.20079,0.12277,0.9563,0.18978,0.19834,0.09031,1.45453,2.46035,1.56498,1.90238,0.000482108,0.000482108,0.000482108
9,472.739,1.55629,2.76359,1.8742,1.84806,0.96933,0.20003,0.21549,0.13193,0.97103,0.20227,0.21329,0.12518,1.38833,2.30752,1.22695,1.78816,0.000455694,0.000455694,0.000455694
10,521.248,1.49135,2.82266,1.83837,1.80673,0.98216,0.20532,0.21798,0.14529,0.98192,0.20616,0.217,0.13353,1.24706,2.28103,1.18049,1.67562,0.000429281,0.000429281,0.000429281
11,569.569,1.46393,2.67818,1.77946,1.78478,0.98452,0.21182,0.21834,0.14901,0.982,0.20942,0.21348,0.12413,1.22528,2.33285,1.08089,1.65796,0.000402868,0.000402868,0.000402868
12,617.484,1.43178,2.73037,1.72229,1.73953,0.98445,0.2029,0.21649,0.13878,0.98796,0.20972,0.2153,0.12349,1.29556,2.36198,1.17104,1.77034,0.000376455,0.000376455,0.000376455
13,665.25,1.37875,2.77194,1.69393,1.70248,0.98359,0.21055,0.21956,0.14942,0.98579,0.20734,0.21418,0.12772,1.14224,2.32897,1.09847,1.63084,0.000350042,0.000350042,0.000350042
14,712.979,1.38102,2.67099,1.67974,1.72816,0.98817,0.21137,0.2209,0.14888,0.98468,0.20776,0.21287,0.12905,1.23475,2.24842,1.12358,1.67144,0.000323628,0.000323628,0.000323628
15,760.883,1.39871,2.59365,1.67889,1.74506,0.9941,0.21769,0.22375,0.16214,0.99206,0.21378,0.21825,0.14783,1.0759,2.23004,0.99554,1.52634,0.000297215,0.000297215,0.000297215
16,809.947,1.32629,2.73224,1.64705,1.78674,0.99002,0.21106,0.22902,0.15884,0.98789,0.20887,0.21573,0.12903,1.18234,2.2378,1.09885,1.62282,0.000270802,0.000270802,0.000270802
17,857.814,1.32115,2.64683,1.57056,1.73661,0.98863,0.21431,0.2262,0.15968,0.98402,0.20936,0.21336,0.13706,1.08363,2.19828,0.97978,1.51367,0.000244389,0.000244389,0.000244389
18,905.03,1.23558,2.6118,1.51482,1.68069,0.99772,0.21688,0.2538,0.17277,0.99464,0.21379,0.21967,0.13979,1.09901,2.19597,0.9341,1.56631,0.000217976,0.000217976,0.000217976
19,952.848,1.23728,2.57489,1.47001,1.70806,0.99711,0.21646,0.22432,0.16369,0.99473,0.21406,0.21805,0.14582,1.07697,2.14703,0.91495,1.5337,0.000191562,0.000191562,0.000191562
20,1000.04,1.17246,2.53943,1.40031,1.66666,0.99678,0.21772,0.22516,0.16178,0.9931,0.21318,0.21582,0.13877,1.13078,2.13252,0.91841,1.60899,0.000165149,0.000165149,0.000165149
21,1047.2,1.18531,2.529,1.38507,1.67409,0.99754,0.21677,0.22626,0.17137,0.99577,0.21555,0.21852,0.14871,0.97741,2.11868,0.81554,1.45648,0.000138736,0.000138736,0.000138736
22,1094.97,1.1153,2.50038,1.29693,1.58617,0.99752,0.21898,0.2253,0.1707,0.99553,0.21697,0.22851,0.14888,0.97895,2.12452,0.82643,1.44669,0.000112323,0.000112323,0.000112323
23,1142.82,1.10483,2.50645,1.30153,1.59673,0.99781,0.219,0.22537,0.17235,0.99535,0.21766,0.22395,0.15149,0.96174,2.1012,0.80488,1.44897,8.59096e-05,8.59096e-05,8.59096e-05
24,1190.81,1.08115,2.42296,1.27536,1.56981,0.88648,0.22044,0.22644,0.17506,0.88432,0.21818,0.22085,0.15283,0.94964,2.06031,0.78977,1.43274,5.94964e-05,5.94964e-05,5.94964e-05
25,1238.51,1.05694,2.43163,1.24806,1.54662,0.99743,0.22008,0.22793,0.17583,0.99503,0.21768,0.22126,0.15333,0.93799,2.06067,0.77584,1.41921,3.30832e-05,3.30832e-05,3.30832e-05
